epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.085,3.29795,10.5863,0.6615,4.82902,2.59698,0.00075,0.17842,0.01322,0.00296,3e-05,0.01282,2e-05,0,3.58805,11.8032,0.67963,6.9049,2.99652,0.00015,0.00015,0.00015
2,285.763,2.40974,10.5031,0.64097,3.75146,1.97025,0.33586,0.11966,0.00146,0.00034,0.66731,0.00855,0.0002,2e-05,3.56112,11.795,0.66281,69.4541,3.06556,0.000306931,0.000306931,0.000306931
3,429.593,2.18599,11.3307,0.63595,3.55659,1.79516,0.66822,0.00855,0.00179,0.00027,0.6678,0.00855,0.00018,2e-05,3.4708,11.7939,0.66299,9.32631,2.89865,0.000460694,0.000460694,0.000460694
4,566.886,2.34535,10.9306,0.63716,3.75013,1.75072,0.334,0.05662,0.00145,0.0003,5e-05,0.02137,6e-05,1e-05,3.53442,11.823,0.64083,7.68593,2.90343,0.000611289,0.000611289,0.000611289
5,699.274,2.10189,11.0366,0.62967,3.45687,1.66406,0.50011,0.00321,0.00135,0.0002,8e-05,0.02564,9e-05,2e-05,3.51305,11.8061,0.65961,6.79607,2.79581,0.000758716,0.000758716,0.000758716
6,832.323,2.24234,11.5305,0.63516,3.28054,1.60692,0.00096,0.10363,0.00507,0.00058,0,0,0,0,3.58293,11.7959,0.64109,6.80983,2.82084,0.000902975,0.000902975,0.000902975
7,977.601,2.14104,11.5945,0.62041,3.16684,1.5353,0.00326,0.17735,0.00519,0.00103,6e-05,0.02564,5e-05,1e-05,3.58576,11.8081,0.60797,6.34151,2.92741,0.0009406,0.0009406,0.0009406
8,1108.57,2.012,11.0521,0.61738,3.28961,1.5956,0.00094,0.15705,0.00069,0.00013,6e-05,0.02564,4e-05,1e-05,3.51919,11.7856,0.57379,6.23118,2.77035,0.0009307,0.0009307,0.0009307
9,1250.09,1.90183,11.2241,0.61313,3.01068,1.52856,0.50025,0.02244,0.00037,0.0001,4e-05,0.01709,2e-05,0,3.31006,11.7966,0.52996,7.04303,2.72257,0.0009208,0.0009208,0.0009208
10,1419.85,1.78702,11.1149,0.63159,2.9035,1.44872,0.00044,0.14744,0.00044,0.00015,3e-05,0.01282,2e-05,0,2.81949,11.7903,0.53852,7.13729,2.35313,0.0009109,0.0009109,0.0009109
11,1583.36,1.93453,11.2046,0.61593,2.89962,1.50798,0.33401,0.02778,0.00158,0.00067,4e-05,0.01282,2e-05,0,3.03107,11.8123,0.57121,5.47723,2.37591,0.000901,0.000901,0.000901
12,1744.98,2.08911,10.7877,0.60804,2.94072,1.56163,0.00039,0.1047,0.00034,0.00011,7e-05,0.02137,4e-05,1e-05,3.0801,11.7979,0.56438,5.71367,2.39049,0.0008911,0.0008911,0.0008911
13,1908.57,1.93826,10.831,0.61789,2.79093,1.52488,0.00065,0.17842,0.00132,0.00038,9e-05,0.02564,6e-05,1e-05,2.92799,11.7924,0.55028,6.04656,2.35854,0.0008812,0.0008812,0.0008812
14,2071.68,1.79913,11.2185,0.61677,2.65673,1.39268,0.00063,0.16774,0.00078,0.00021,9e-05,0.02564,8e-05,2e-05,2.88407,11.7843,0.55107,6.03198,2.35836,0.0008713,0.0008713,0.0008713
15,2235.72,1.57779,11.0933,0.62745,2.56475,1.3633,0.0006,0.12393,0.00039,0.00011,0.00011,0.02564,6e-05,1e-05,2.91422,11.7679,0.57147,5.83768,2.39367,0.0008614,0.0008614,0.0008614
16,2397.82,1.72744,11.3125,0.60692,2.56967,1.41639,0.00044,0.09509,0.00032,8e-05,4e-05,0.01282,3e-05,1e-05,2.86162,11.7654,0.5668,5.58516,2.33309,0.0008515,0.0008515,0.0008515
17,2562.12,1.61825,11.1974,0.60627,2.43364,1.33618,0.00051,0.12821,0.00047,0.00017,4e-05,0.01282,3e-05,1e-05,2.83512,11.7605,0.56867,6.53438,2.31864,0.0008416,0.0008416,0.0008416
18,2716.74,1.70596,11.1949,0.60659,2.50964,1.37673,0.00043,0.10577,0.00038,0.00011,7e-05,0.01709,4e-05,1e-05,2.90246,11.7864,0.57851,5.82135,2.50611,0.0008317,0.0008317,0.0008317
19,2847.9,1.68958,11.0061,0.61303,2.53586,1.39084,0.00042,0.10043,0.00035,0.0001,5e-05,0.01282,3e-05,1e-05,2.92757,11.7896,0.57035,5.62945,2.52179,0.0008218,0.0008218,0.0008218
20,2987.32,1.57813,11.2796,0.60117,2.38218,1.35352,0.0005,0.12179,0.0004,0.00012,0.0001,0.02564,6e-05,1e-05,2.80382,11.8032,0.56484,6.12587,2.38974,0.0008119,0.0008119,0.0008119
21,3119.23,1.61579,11.0185,0.60055,2.36094,1.32656,0.16935,0.0203,0.00064,0.00017,9e-05,0.02564,6e-05,1e-05,2.71561,11.7954,0.54796,5.99272,2.35651,0.000802,0.000802,0.000802
22,3251.17,1.5441,11.061,0.60305,2.39529,1.32306,0.3382,0.01282,0.00102,0.0002,7e-05,0.02137,4e-05,1e-05,2.73615,11.8073,0.53938,5.82494,2.36365,0.0007921,0.0007921,0.0007921
23,3382.99,1.54425,11.0408,0.5983,2.25231,1.32207,0.00053,0.18162,0.00069,0.00018,7e-05,0.02564,6e-05,1e-05,2.83502,11.7907,0.53173,5.73973,2.41163,0.0007822,0.0007822,0.0007822
24,3513.37,1.59435,10.8349,0.60677,2.43032,1.37875,0.00042,0.10256,0.00035,0.0001,0.0001,0.02564,7e-05,1e-05,2.81301,11.7857,0.53235,5.55162,2.39882,0.0007723,0.0007723,0.0007723
25,3647.31,1.4557,11.274,0.58772,2.17128,1.28158,0.00039,0.0609,0.00028,9e-05,4e-05,0.00855,7e-05,1e-05,2.92253,11.7842,0.55279,5.53688,2.42662,0.0007624,0.0007624,0.0007624
26,3779.5,1.55944,11.0894,0.58773,2.29457,1.35647,0.00046,0.07479,0.00038,0.00015,6e-05,0.01282,7e-05,1e-05,2.91897,11.7913,0.53277,5.68332,2.51132,0.0007525,0.0007525,0.0007525
27,3912.26,1.4274,10.8237,0.6011,2.07125,1.23528,0.00048,0.08654,0.0005,0.00018,5e-05,0.01282,4e-05,1e-05,2.90563,11.7889,0.52965,5.65333,2.52524,0.0007426,0.0007426,0.0007426
28,4045.15,1.59926,11.1228,0.59251,2.26785,1.33862,0.00063,0.09615,0.00053,0.00019,0.00011,0.02137,8e-05,2e-05,2.79174,11.7778,0.54009,5.57662,2.49862,0.0007327,0.0007327,0.0007327
29,4176.1,1.42712,10.746,0.60841,2.13627,1.31346,0.00066,0.09188,0.00049,0.00016,0.0001,0.01709,6e-05,1e-05,2.79045,11.766,0.54847,5.61223,2.48558,0.0007228,0.0007228,0.0007228
