epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.6428,0.73125,0.50855,1,0.68544,0.00011669,0.00011669,0.00011669
2,53.283,0.53163,0.5,1,0.70505,0.000245099,0.000245099,0.000245099
3,78.2909,0.39356,0.5,1,0.60481,0.000368227,0.000368227,0.000368227
4,104.281,0.2628,0.82051,1,0.47069,0.000486074,0.000486074,0.000486074
5,129.221,0.1589,0.91453,1,0.33464,0.00059864,0.00059864,0.00059864
6,155.808,0.09865,0.95726,1,0.21258,0.000705924,0.000705924,0.000705924
7,183.105,0.03977,0.94872,1,0.1799,0.000807928,0.000807928,0.000807928
8,208.175,0.05526,0.96581,1,0.14155,0.000904651,0.000904651,0.000904651
9,232.529,0.03137,0.97436,1,0.10132,0.000996093,0.000996093,0.000996093
10,256.35,0.06166,0.97863,1,0.08226,0.00108225,0.00108225,0.00108225
11,278.905,0.02467,0.96154,1,0.10013,0.00116313,0.00116313,0.00116313
12,301.561,0.01694,0.96154,1,0.1304,0.00123873,0.00123873,0.00123873
13,324.479,0.00566,0.90598,1,0.19012,0.00127092,0.00127092,0.00127092
14,349.979,0.02458,0.9188,1,0.19791,0.00123791,0.00123791,0.00123791
15,374.034,0.00527,0.90598,1,0.17827,0.00120491,0.00120491,0.00120491
16,397.593,0.01528,0.97009,1,0.09792,0.0011719,0.0011719,0.0011719
17,431.324,0.01997,0.97863,1,0.08136,0.00113889,0.00113889,0.00113889
18,456.817,0.01649,0.98291,1,0.05942,0.00110589,0.00110589,0.00110589
19,480.831,0.04261,0.97863,1,0.10258,0.00107288,0.00107288,0.00107288
20,507.578,0.04037,0.82051,1,0.3039,0.00103987,0.00103987,0.00103987
21,531.658,0.00938,0.81624,1,0.32016,0.00100687,0.00100687,0.00100687
22,555.801,0.01185,0.80342,1,0.43163,0.000973861,0.000973861,0.000973861
23,582.275,0.02043,0.80769,1,0.40248,0.000940855,0.000940855,0.000940855
24,605.884,0.0051,0.84615,1,0.31822,0.000907848,0.000907848,0.000907848
25,629.677,0.00445,0.8547,1,0.30726,0.000874842,0.000874842,0.000874842
26,652.255,0.03379,0.86325,1,0.31936,0.000841835,0.000841835,0.000841835
27,674.502,0.04538,0.88034,1,0.19329,0.000808828,0.000808828,0.000808828
28,696.618,0.02025,0.95726,1,0.12048,0.000775822,0.000775822,0.000775822
29,721.577,0.0105,0.97436,1,0.10804,0.000742815,0.000742815,0.000742815
30,749.315,0.03042,0.97863,1,0.07174,0.000709809,0.000709809,0.000709809
31,773.537,0.01386,0.98291,1,0.06987,0.000676802,0.000676802,0.000676802
32,796.949,0.00895,0.98291,1,0.08778,0.000643795,0.000643795,0.000643795
33,821.286,0.01938,0.99145,1,0.05367,0.000610789,0.000610789,0.000610789
34,844.264,0.01441,0.99573,1,0.04646,0.000577782,0.000577782,0.000577782
35,866.65,0.00757,0.99145,1,0.0479,0.000544776,0.000544776,0.000544776
36,889.828,0.00683,0.99573,1,0.04343,0.000511769,0.000511769,0.000511769
37,913.405,0.00365,0.99573,1,0.04075,0.000478762,0.000478762,0.000478762
38,935.93,0.00539,0.99145,1,0.0393,0.000445756,0.000445756,0.000445756
39,958.652,0.00928,0.99145,1,0.04134,0.000412749,0.000412749,0.000412749
40,982.032,0.02249,0.99573,1,0.04072,0.000379743,0.000379743,0.000379743
41,1004.78,0.01416,0.99573,1,0.03705,0.000346736,0.000346736,0.000346736
42,1029.44,0.00297,0.99573,1,0.03805,0.000313729,0.000313729,0.000313729
43,1054.58,0.01261,0.99573,1,0.04004,0.000280723,0.000280723,0.000280723
44,1079.17,0.00107,0.99573,1,0.04205,0.000247716,0.000247716,0.000247716
45,1102.51,0.00144,0.99573,1,0.04719,0.00021471,0.00021471,0.00021471
46,1124.87,0.00533,0.99573,1,0.04564,0.000181703,0.000181703,0.000181703
47,1146.38,0.00296,0.99573,1,0.04152,0.000148696,0.000148696,0.000148696
48,1170.53,0.01805,0.98718,1,0.05781,0.00011569,0.00011569,0.00011569
49,1192.85,0.00218,0.99573,1,0.04477,8.26832e-05,8.26832e-05,8.26832e-05
50,1215.09,0.00265,0.99573,1,0.04938,4.96766e-05,4.96766e-05,4.96766e-05
