epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.4609,1.04726,0.31197,1,1.13659,0.00010003,0.00010003,0.00010003
2,33.4994,0.81167,0.33333,1,1.27026,0.000212228,0.000212228,0.000212228
3,49.6961,0.65522,0.33333,1,1.57991,0.000322162,0.000322162,0.000322162
4,65.6967,0.46515,0.37179,1,1.52253,0.000429833,0.000429833,0.000429833
5,82.2085,0.41434,0.5,1,1.44778,0.000535241,0.000535241,0.000535241
6,98.8552,0.29528,0.5,1,1.48732,0.000638384,0.000638384,0.000638384
7,115.047,0.19886,0.5,1,1.54247,0.000739265,0.000739265,0.000739265
8,131.164,0.20105,0.5,1,1.17782,0.000837881,0.000837881,0.000837881
9,147.763,0.21243,0.5,1,0.85014,0.000934234,0.000934234,0.000934234
10,164.879,0.13662,0.61111,1,0.68989,0.00102832,0.00102832,0.00102832
11,181.441,0.14907,0.64957,1,0.67781,0.00112015,0.00112015,0.00112015
12,197.714,0.10375,0.5641,1,0.88295,0.00120971,0.00120971,0.00120971
13,214.913,0.08527,0.53846,1,1.14857,0.00125923,0.00125923,0.00125923
14,231.462,0.0487,0.55556,1,1.1263,0.00124509,0.00124509,0.00124509
15,247.907,0.09668,0.56838,1,0.85562,0.00123094,0.00123094,0.00123094
16,263.962,0.08654,0.52137,1,1.85284,0.00121679,0.00121679,0.00121679
17,280.664,0.10696,0.5,1,2.37123,0.00120265,0.00120265,0.00120265
18,298.896,0.06194,0.5,1,2.33726,0.0011885,0.0011885,0.0011885
19,315.308,0.09098,0.52564,1,1.15385,0.00117435,0.00117435,0.00117435
20,331.544,0.03416,0.70085,1,0.585,0.00116021,0.00116021,0.00116021
21,348.778,0.04217,0.74359,1,0.47052,0.00114606,0.00114606,0.00114606
22,365.401,0.04676,0.76068,1,0.43812,0.00113191,0.00113191,0.00113191
23,381.8,0.06515,0.70513,1,0.6197,0.00111776,0.00111776,0.00111776
24,397.918,0.0525,0.57692,1,1.05068,0.00110362,0.00110362,0.00110362
25,415.77,0.03295,0.53846,1,1.2624,0.00108947,0.00108947,0.00108947
26,433.534,0.03741,0.53846,1,1.29556,0.00107532,0.00107532,0.00107532
27,449.635,0.03509,0.55128,1,1.30143,0.00106118,0.00106118,0.00106118
28,465.886,0.03917,0.65385,1,1.09221,0.00104703,0.00104703,0.00104703
29,482.976,0.07249,0.67094,1,1.11419,0.00103288,0.00103288,0.00103288
30,499.387,0.04026,0.61966,1,1.374,0.00101873,0.00101873,0.00101873
31,515.802,0.03042,0.64957,1,1.07263,0.00100459,0.00100459,0.00100459
32,532.904,0.0379,0.61966,1,0.95166,0.00099044,0.00099044,0.00099044
33,549.996,0.03651,0.61538,1,0.86983,0.000976293,0.000976293,0.000976293
34,566.608,0.0405,0.64957,1,0.90395,0.000962146,0.000962146,0.000962146
35,582.861,0.03341,0.58547,1,1.03706,0.000947999,0.000947999,0.000947999
36,599.138,0.01748,0.52564,1,1.44726,0.000933851,0.000933851,0.000933851
37,616.074,0.00816,0.51282,1,1.63485,0.000919704,0.000919704,0.000919704
38,632.566,0.03715,0.54701,1,1.40833,0.000905557,0.000905557,0.000905557
39,649.821,0.04072,0.55128,1,1.39255,0.00089141,0.00089141,0.00089141
40,666.329,0.02703,0.80342,1,0.45088,0.000877263,0.000877263,0.000877263
41,683.656,0.03926,0.87179,1,0.25644,0.000863116,0.000863116,0.000863116
42,699.932,0.02008,0.85897,1,0.28387,0.000848969,0.000848969,0.000848969
43,716.456,0.01815,0.76496,1,0.6202,0.000834822,0.000834822,0.000834822
44,732.777,0.04909,0.70085,1,0.78119,0.000820675,0.000820675,0.000820675
45,749.878,0.01931,0.6453,1,0.95505,0.000806528,0.000806528,0.000806528
46,766.117,0.04569,0.54274,1,1.36172,0.00079238,0.00079238,0.00079238
47,782.59,0.04954,0.55128,1,1.40513,0.000778233,0.000778233,0.000778233
48,799.744,0.02515,0.52564,1,1.44695,0.000764086,0.000764086,0.000764086
49,816.86,0.02197,0.51709,1,1.57806,0.000749939,0.000749939,0.000749939
50,833.427,0.03342,0.53419,1,1.41139,0.000735792,0.000735792,0.000735792
51,851.488,0.0476,0.57692,1,1.19075,0.000721645,0.000721645,0.000721645
52,868.07,0.03156,0.52137,1,1.43539,0.000707498,0.000707498,0.000707498
53,885.342,0.05682,0.5,1,1.67872,0.000693351,0.000693351,0.000693351
54,901.98,0.01865,0.5,1,1.86314,0.000679204,0.000679204,0.000679204
55,918.663,0.02997,0.50855,1,1.68116,0.000665057,0.000665057,0.000665057
56,936.772,0.0249,0.52137,1,1.23543,0.000650909,0.000650909,0.000650909
57,955.23,0.02317,0.54274,1,1.06535,0.000636762,0.000636762,0.000636762
58,972,0.01935,0.53846,1,1.0375,0.000622615,0.000622615,0.000622615
59,988.51,0.05142,0.61111,1,0.96531,0.000608468,0.000608468,0.000608468
60,1005.59,0.04871,0.56838,1,1.24062,0.000594321,0.000594321,0.000594321
61,1023.01,0.04561,0.52137,1,1.7121,0.000580174,0.000580174,0.000580174
62,1043.22,0.00872,0.50427,1,2.15272,0.000566027,0.000566027,0.000566027
63,1059.84,0.02067,0.5,1,2.44475,0.00055188,0.00055188,0.00055188
64,1077.41,0.02301,0.50427,1,2.15857,0.000537733,0.000537733,0.000537733
65,1095.79,0.04126,0.5,1,2.47461,0.000523586,0.000523586,0.000523586
66,1112.46,0.01179,0.49573,1,2.45525,0.000509438,0.000509438,0.000509438
67,1129,0.01881,0.48718,1,2.76416,0.000495291,0.000495291,0.000495291
68,1146.42,0.00956,0.49145,1,2.42919,0.000481144,0.000481144,0.000481144
69,1163.38,0.068,0.49573,1,2.03203,0.000466997,0.000466997,0.000466997
70,1181.02,0.02962,0.49145,1,2.14297,0.00045285,0.00045285,0.00045285
71,1198.4,0.02878,0.5,1,1.83534,0.000438703,0.000438703,0.000438703
72,1216.04,0.00518,0.5,1,1.8084,0.000424556,0.000424556,0.000424556
73,1234.24,0.0862,0.52137,1,1.6919,0.000410409,0.000410409,0.000410409
74,1251.11,0.03211,0.57692,1,1.4572,0.000396262,0.000396262,0.000396262
75,1268.38,0.1042,0.5641,1,1.68731,0.000382115,0.000382115,0.000382115
76,1285.98,0.0208,0.50427,1,2.17229,0.000367967,0.000367967,0.000367967
77,1302.48,0.01237,0.5,1,1.99995,0.00035382,0.00035382,0.00035382
78,1319.45,0.02731,0.46581,1,2.27284,0.000339673,0.000339673,0.000339673
79,1336.17,0.02885,0.51709,1,2.05548,0.000325526,0.000325526,0.000325526
80,1353.03,0.0163,0.51282,1,2.04603,0.000311379,0.000311379,0.000311379
81,1369.81,0.00961,0.50427,1,2.15683,0.000297232,0.000297232,0.000297232
82,1386.73,0.01356,0.49145,1,2.20668,0.000283085,0.000283085,0.000283085
83,1403.83,0.0068,0.50427,1,2.11416,0.000268938,0.000268938,0.000268938
84,1422.77,0.01501,0.51282,1,2.07616,0.000254791,0.000254791,0.000254791
85,1439.4,0.02246,0.49573,1,2.4114,0.000240644,0.000240644,0.000240644
86,1455.86,0.01459,0.52137,1,2.14547,0.000226497,0.000226497,0.000226497
87,1473.45,0.0141,0.51282,1,2.02859,0.000212349,0.000212349,0.000212349
88,1491.07,0.00667,0.51282,1,2.03388,0.000198202,0.000198202,0.000198202
89,1507.3,0.01926,0.50427,1,2.24388,0.000184055,0.000184055,0.000184055
90,1524.56,0.00345,0.49573,1,2.14306,0.000169908,0.000169908,0.000169908
91,1541.79,0.00732,0.52137,1,1.97916,0.000155761,0.000155761,0.000155761
92,1558.27,0.01942,0.53419,1,1.77898,0.000141614,0.000141614,0.000141614
93,1574.54,0.00877,0.52991,1,1.77364,0.000127467,0.000127467,0.000127467
94,1591.28,0.03467,0.52991,1,1.75463,0.00011332,0.00011332,0.00011332
95,1608.53,0.02434,0.52137,1,1.81387,9.91726e-05,9.91726e-05,9.91726e-05
96,1624.78,0.01998,0.51709,1,1.92095,8.50255e-05,8.50255e-05,8.50255e-05
97,1642.36,0.02098,0.51282,1,1.97234,7.08784e-05,7.08784e-05,7.08784e-05
98,1659.14,0.02588,0.52991,1,1.8135,5.67313e-05,5.67313e-05,5.67313e-05
99,1676.32,0.01802,0.54701,1,1.58481,4.25842e-05,4.25842e-05,4.25842e-05
100,1694.01,0.01596,0.52137,1,2.04328,2.84371e-05,2.84371e-05,2.84371e-05
