epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6208,3.88527,9.52231,0.70959,5.7939,3.8008,0.00011,0.04167,0.0015,0.0003,0.00042,0.08333,0.00198,0.0002,4.99634,11.9917,0.69572,5.87471,4.94923,2e-05,2e-05,2e-05
2,35.5358,3.54472,8.11956,0.70659,6.70982,3.49751,0.00013,0.04167,0.00105,0.00021,0.00034,0.08333,0.0013,0.00013,5.08732,11.9934,0.69566,6.75795,4.83986,4.9505e-05,4.9505e-05,4.9505e-05
3,52.1219,3.07085,7.30345,0.70381,5.91067,3.23105,0.00026,0.08333,0.0021,0.00024,0.00034,0.08333,0.00032,3e-05,5.13865,11.9933,0.69558,7.39628,4.80934,7.8416e-05,7.8416e-05,7.8416e-05
4,68.6446,2.9582,8.02634,0.69844,5.39218,2.87629,0.00026,0.08333,0.00046,6e-05,0,0,0,0,5.18723,11.9932,0.69529,7.70608,4.77091,0.000106733,0.000106733,0.000106733
5,86.2889,2.58821,5.93014,0.70727,4.96352,2.831,0.00025,0.08333,0.00028,4e-05,0,0,0,0,5.19469,11.9925,0.69562,8.43557,4.73842,0.000134456,0.000134456,0.000134456
6,103.278,2.0266,5.88786,0.46018,9.32702,1.96107,0,0,0,0,0.00051,0.11111,0.00043,4e-05,5.31202,11.9924,0.69481,8.49117,4.83908,0.000161585,0.000161585,0.000161585
7,119.528,2.69188,6.68265,0.6998,5.4541,2.51293,0.00012,0.04167,9e-05,1e-05,0.00044,0.11111,0.00039,4e-05,5.27082,11.9926,0.69592,8.12871,4.83752,0.00018812,0.00018812,0.00018812
8,135.922,2.72089,9.09549,0.69422,4.73972,2.42553,0.00023,0.08333,0.00025,3e-05,0.0002,0.05556,0.00014,1e-05,5.11359,11.9932,0.69535,10.1157,4.7694,0.000214061,0.000214061,0.000214061
9,152.814,2.35151,8.09284,0.69708,4.45773,2.36708,0.00033,0.125,0.00039,4e-05,0.00017,0.05556,0.00011,1e-05,5.14055,11.993,0.69471,9.02782,4.87968,0.000239408,0.000239408,0.000239408
10,168.99,1.91798,6.90897,0.6891,3.91964,2.1394,0.00044,0.16667,0.00067,8e-05,0.00046,0.16667,0.00112,0.00023,5.1389,11.9941,0.69306,8.56592,4.97985,0.000264161,0.000264161,0.000264161
11,185.356,2.13511,6.99146,0.68388,4.44795,2.14526,0.00045,0.16667,0.00065,0.00012,0.00062,0.22222,0.002,0.00043,5.14274,11.9944,0.68978,8.00136,5.28911,0.00028832,0.00028832,0.00028832
12,202.378,2.31228,7.02834,0.68286,4.03771,2.36251,0.50055,0.04167,0.00072,0.00014,0.00043,0.16667,0.00178,0.00033,5.13147,11.992,0.6864,7.2832,5.49419,0.000311885,0.000311885,0.000311885
13,218.961,1.22616,5.55509,0.45071,8.23023,1.29084,0.00045,0.16667,0.00076,0.00021,0.00042,0.16667,0.00104,0.00021,5.11665,11.991,0.68558,8.16726,5.74292,0.000334856,0.000334856,0.000334856
14,235.318,1.61286,7.37393,0.66563,3.7105,1.77057,0.00034,0.125,0.0012,0.00028,0.00054,0.19444,0.00048,0.00011,4.97158,11.9944,0.68391,7.09142,5.40542,0.000357233,0.000357233,0.000357233
15,251.191,2.05503,8.56543,0.67692,4.16876,2.12523,0.00034,0.125,0.0012,0.00028,0.00054,0.19444,0.00048,0.00011,4.97158,11.9944,0.68391,7.09142,5.40542,0.000379016,0.000379016,0.000379016
16,268.132,2.57401,5.3454,0.66379,5.35727,2.35025,0.00046,0.16667,0.00169,0.00029,0.0002,0.08333,0.0002,2e-05,4.92234,11.9913,0.68106,7.69916,5.23631,0.000400205,0.000400205,0.000400205
17,284.715,1.70823,8.99652,0.66499,3.74484,1.69248,0.00101,0.27778,0.00245,0.00042,0.00035,0.13889,0.00034,5e-05,4.7932,11.9882,0.67898,7.2742,5.211,0.0004208,0.0004208,0.0004208
18,300.696,2.07017,8.42496,0.66436,4.20452,2.13387,0.00101,0.27778,0.00245,0.00042,0.00035,0.13889,0.00034,5e-05,4.7932,11.9882,0.67898,7.2742,5.211,0.000440801,0.000440801,0.000440801
19,317.558,1.51462,8.64788,0.672,3.65962,1.77614,0.001,0.27778,0.00189,0.00033,0,0,0,0,4.89548,11.9885,0.67951,7.55806,5.2768,0.000460208,0.000460208,0.000460208
20,333.949,1.24714,10.3987,0.67251,3.63606,1.6053,0.00077,0.22222,0.00137,0.00029,0,0,0,0,5.0127,11.9911,0.67662,7.49523,5.61357,0.000479021,0.000479021,0.000479021
21,351.586,1.87179,8.55356,0.64923,3.57117,1.90652,0.00077,0.22222,0.00137,0.00029,0,0,0,0,5.0127,11.9911,0.67662,7.49523,5.61357,0.00049724,0.00049724,0.00049724
22,370.043,1.29214,8.97778,0.65783,3.10147,1.54828,0.00065,0.16667,0.00148,0.0004,0.00014,0.08333,0.00012,1e-05,5.10398,11.9912,0.67496,8.53465,5.91568,0.000514865,0.000514865,0.000514865
23,390.035,1.38388,8.71257,0.65328,3.17357,1.61011,0.00065,0.16667,0.00148,0.0004,0.00014,0.08333,0.00012,1e-05,5.10398,11.9912,0.67496,8.53465,5.91568,0.000531896,0.000531896,0.000531896
24,406.87,1.89515,5.90347,0.65912,4.45738,2.01075,0.00016,0.04167,0.00027,3e-05,0.0002,0.05556,0.0004,4e-05,5.15366,11.9912,0.67487,7.82865,5.97962,0.000548333,0.000548333,0.000548333
25,423.596,1.52095,7.22051,0.66337,4.381,1.76526,0.00016,0.04167,0.00027,3e-05,0.0002,0.05556,0.0004,4e-05,5.15366,11.9912,0.67487,7.82865,5.97962,0.000564176,0.000564176,0.000564176
26,439.8,1.57734,5.56836,0.69052,3.40811,1.61615,0,0,0,0,0.00073,0.22222,0.00294,0.00029,5.12435,11.9913,0.67547,7.69676,5.85427,0.000579425,0.000579425,0.000579425
27,455.89,1.31398,8.46029,0.66579,3.24736,1.65373,0,0,0,0,0.00073,0.22222,0.00294,0.00029,5.12435,11.9913,0.67547,7.69676,5.85427,0.00059408,0.00059408,0.00059408
28,472.446,1.60638,6.47036,0.68063,3.41283,1.89543,0,0,0,0,0.00053,0.16667,0.00418,0.00049,5.02543,11.9909,0.67883,7.1497,5.76355,0.000608141,0.000608141,0.000608141
29,488.544,1.09936,6.55143,0.63928,2.855,1.38949,0,0,0,0,0.00053,0.16667,0.00418,0.00049,5.02543,11.9909,0.67883,7.1497,5.76355,0.000621608,0.000621608,0.000621608
30,505.014,1.39522,5.54742,0.66719,3.6979,1.4821,0,0,0,0,0.00053,0.16667,0.00418,0.00049,5.02543,11.9909,0.67883,7.1497,5.76355,0.000634481,0.000634481,0.000634481
31,523.455,1.70725,5.55231,0.67082,4.95312,1.95842,0,0,0,0,0.00067,0.22222,0.00273,0.00028,5.19647,11.9911,0.67141,7.4287,5.91934,0.00064676,0.00064676,0.00064676
32,539.981,1.2392,5.28307,0.61912,3.45731,1.47608,0,0,0,0,0.00067,0.22222,0.00273,0.00028,5.19647,11.9911,0.67141,7.4287,5.91934,0.000658445,0.000658445,0.000658445
33,556.034,1.15163,6.58349,0.66278,2.92537,1.45587,0.00033,0.08333,0.00029,7e-05,0.00069,0.22222,0.00337,0.00035,5.2951,11.9894,0.67188,7.26459,5.75127,0.000669536,0.000669536,0.000669536
34,577.868,1.15304,5.35029,0.62607,2.71651,1.51572,0.00033,0.08333,0.00029,7e-05,0.00069,0.22222,0.00337,0.00035,5.2951,11.9894,0.67188,7.26459,5.75127,0.0006733,0.0006733,0.0006733
35,594.742,1.4274,6.68735,0.65401,2.91896,1.66391,0.00033,0.08333,0.00029,7e-05,0.00069,0.22222,0.00337,0.00035,5.2951,11.9894,0.67188,7.26459,5.75127,0.0006634,0.0006634,0.0006634
36,611.295,1.81594,8.83486,0.63971,4.98419,1.63734,0,0,0,0,0.00034,0.11111,0.0012,0.00013,5.42279,11.9925,0.69167,7.30923,5.39036,0.0006535,0.0006535,0.0006535
37,627.432,1.47232,6.88076,0.63614,2.97033,1.75584,0,0,0,0,0.00034,0.11111,0.0012,0.00013,5.42279,11.9925,0.69167,7.30923,5.39036,0.0006436,0.0006436,0.0006436
38,643.211,1.71205,7.06732,0.67044,3.36799,1.79518,0,0,0,0,0.00034,0.11111,0.0012,0.00013,5.42279,11.9925,0.69167,7.30923,5.39036,0.0006337,0.0006337,0.0006337
39,659.281,1.29232,9.51663,0.6371,3.24498,1.69903,0.0007,0.11111,0.0008,8e-05,0.00054,0.16667,0.00458,0.00046,5.29968,11.9911,0.68202,7.47168,5.2534,0.0006238,0.0006238,0.0006238
40,677.577,1.37118,7.56711,0.58672,3.05271,1.59004,0.0007,0.11111,0.0008,8e-05,0.00054,0.16667,0.00458,0.00046,5.29968,11.9911,0.68202,7.47168,5.2534,0.0006139,0.0006139,0.0006139
41,694.059,0.8141,6.35158,0.43033,6.91991,0.95415,0,0,0,0,0.00038,0.11111,0.00091,9e-05,5.28856,11.9847,0.67792,7.22528,5.44761,0.000604,0.000604,0.000604
42,710.108,1.37555,8.12954,0.6106,3.11741,1.55609,0,0,0,0,0.00038,0.11111,0.00091,9e-05,5.28856,11.9847,0.67792,7.22528,5.44761,0.0005941,0.0005941,0.0005941
43,726.1,1.67717,9.66612,0.62582,2.91787,1.77868,0,0,0,0,0.00038,0.11111,0.00091,9e-05,5.28856,11.9847,0.67792,7.22528,5.44761,0.0005842,0.0005842,0.0005842
44,742.802,0.67333,6.55348,0.41481,6.58806,0.9416,0.00014,0.04167,9e-05,1e-05,0.00023,0.05556,0.00021,2e-05,5.37332,11.9871,0.68903,7.6534,5.63308,0.0005743,0.0005743,0.0005743
45,758.734,1.07335,9.83247,0.6148,3.02756,1.35439,0.00014,0.04167,9e-05,1e-05,0.00023,0.05556,0.00021,2e-05,5.37332,11.9871,0.68903,7.6534,5.63308,0.0005644,0.0005644,0.0005644
46,774.686,0.9799,8.00517,0.61939,3.09401,1.34509,0.00014,0.04167,9e-05,1e-05,0.00023,0.05556,0.00021,2e-05,5.37332,11.9871,0.68903,7.6534,5.63308,0.0005545,0.0005545,0.0005545
47,791.625,1.33007,6.63231,0.60367,2.84393,1.6565,0.00094,0.19444,0.00082,0.00027,0.00025,0.05556,0.00022,2e-05,5.28844,11.9929,0.69183,6.75641,5.59935,0.0005446,0.0005446,0.0005446
48,808.049,1.2321,7.6294,0.60047,2.91133,1.56112,0.00094,0.19444,0.00082,0.00027,0.00025,0.05556,0.00022,2e-05,5.28844,11.9929,0.69183,6.75641,5.59935,0.0005347,0.0005347,0.0005347
49,825.302,1.30417,9.79086,0.60857,2.70399,1.32698,0.00092,0.15278,0.02241,0.00318,0.00026,0.05556,0.00027,3e-05,5.14458,11.9926,0.69102,6.45491,5.39207,0.0005248,0.0005248,0.0005248
50,842.996,1.19629,8.55635,0.62664,2.78599,1.49927,0.00092,0.15278,0.02241,0.00318,0.00026,0.05556,0.00027,3e-05,5.14458,11.9926,0.69102,6.45491,5.39207,0.0005149,0.0005149,0.0005149
51,861.073,1.1807,7.50654,0.57026,2.8294,1.48776,0.00092,0.15278,0.02241,0.00318,0.00026,0.05556,0.00027,3e-05,5.14458,11.9926,0.69102,6.45491,5.39207,0.000505,0.000505,0.000505
52,881.174,1.03277,5.57863,0.61234,2.612,1.39035,0.00123,0.19444,0.01542,0.00174,0.00043,0.11111,0.0011,0.00011,5.19378,11.992,0.70102,7.51017,5.45005,0.0004951,0.0004951,0.0004951
53,901.696,1.18814,5.18259,0.56123,3.25136,1.45452,0.00123,0.19444,0.01542,0.00174,0.00043,0.11111,0.0011,0.00011,5.19378,11.992,0.70102,7.51017,5.45005,0.0004852,0.0004852,0.0004852
